### Footprint positions - created on Sun Dec 31 16:51:53 2023 ###
### Printed by KiCad version 7.0.6
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                 Package                                                PosX       PosY       Rot  Side
C31       4u7_X7R_100V        C_1206_3216_DensityHigh                             29.0000    54.9000    0.0000  bottom
C32       4u7_X7R_100V        C_1206_3216_DensityHigh                             29.0000    52.9000    0.0000  bottom
C33       4u7_X7R_100V        C_1206_3216_DensityHigh                              5.6504    42.6999  180.0000  bottom
C34       4u7_X7R_100V        C_1206_3216_DensityHigh                             41.0000    50.9000  180.0000  bottom
C35       4u7_X7R_100V        C_1206_3216_DensityHigh                             41.0000    52.9000  180.0000  bottom
C36       4u7_X7R_100V        C_1206_3216_DensityHigh                             41.0000    54.9000  180.0000  bottom
C39       4u7_X7R_100V        C_1206_3216_DensityHigh                              5.6504    40.6999  180.0000  bottom
C40       4u7_X7R_100V        C_1206_3216_DensityHigh                             42.0004    40.6999  -90.0000  bottom
C41       4u7_X7R_100V        C_1206_3216_DensityHigh                             40.0004    40.6999  -90.0000  bottom
C42       4u7_X7R_100V        C_1206_3216_DensityHigh                             38.0004    40.6999  -90.0000  bottom
C43       4u7_X7R_100V        C_1206_3216_DensityHigh                             36.0004    40.6999  -90.0000  bottom
C44       4u7_X7R_100V        C_1206_3216_DensityHigh                             34.0004    40.6999  -90.0000  bottom
C45       2u2_X7R_100V        R_0805_2012_DensityHigh                             10.7004    30.7999  180.0000  bottom
C46       4u7_X7R_100V        C_1206_3216_DensityHigh                             32.0004    40.6999  -90.0000  bottom
C47       4u7_X7R_100V        C_1206_3216_DensityHigh                             30.0004    40.6999  -90.0000  bottom
C48       4u7_X7R_100V        C_1206_3216_DensityHigh                             28.0004    40.6999  -90.0000  bottom
C51       4u7_X7R_100V        C_1206_3216_DensityHigh                             29.0000    50.9000    0.0000  bottom
C52       2u2_X7R_100V        R_0805_2012_DensityHigh                              9.9004    32.9999  -90.0000  bottom
C53       4u7_X7R_100V        C_1206_3216_DensityHigh                              9.6504    40.6999    0.0000  bottom
C54       4u7_X7R_100V        C_1206_3216_DensityHigh                              9.6504    44.6999    0.0000  bottom
C55       4u7_X7R_100V        C_1206_3216_DensityHigh                             19.3504    36.8999  -90.0000  bottom
C56       10u_X7R_25V         C_0805_2012_DensityHighest                          13.2254    32.9999  -90.0000  bottom
C57       4u7_X7R_100V        C_1206_3216_DensityHigh                             21.3504    36.8999  -90.0000  bottom
C58       4u7_X7R_100V        C_1206_3216_DensityHigh                             23.3504    36.8999  -90.0000  bottom
C59       4u7_X7R_100V        C_1206_3216_DensityHigh                             25.3504    36.8999  -90.0000  bottom
C60       1u_X7R_25V          C_0603_1608_DensityHigh                             22.8504    32.6999   90.0000  bottom
C61       4u7_X7R_100V        C_1206_3216_DensityHigh                             44.6504    36.9249  -90.0000  bottom
C62       4u7_X7R_100V        C_1206_3216_DensityHigh                             46.6504    36.9249  -90.0000  bottom
C63       4u7_X7R_100V        C_1206_3216_DensityHigh                             48.6504    36.9249  -90.0000  bottom
C64       4u7_X7R_100V        C_1206_3216_DensityHigh                             50.6504    36.9249  -90.0000  bottom
C65       4u7_X7R_100V        C_1206_3216_DensityHigh                             41.0000    56.9000  180.0000  bottom
C67       4u7_X7R_100V        C_1206_3216_DensityHigh                             56.3004    38.7499    0.0000  bottom
C68       4u7_X7R_100V        C_1206_3216_DensityHigh                             56.3004    40.7499    0.0000  bottom
C69       4u7_X7R_100V        C_1206_3216_DensityHigh                             56.3004    42.7499    0.0000  bottom
C70       4u7_X7R_100V        C_1206_3216_DensityHigh                             56.3004    44.7499    0.0000  bottom
C71       4u7_X7R_100V        C_1206_3216_DensityHigh                              9.6504    42.6999    0.0000  bottom
C72       4u7_X7R_100V        C_1206_3216_DensityHigh                             60.3004    38.7499  180.0000  bottom
C73       4u7_X7R_100V        C_1206_3216_DensityHigh                              9.6504    38.6999    0.0000  bottom
C74       4u7_X7R_100V        C_1206_3216_DensityHigh                             13.6504    38.6999  180.0000  bottom
C75       4u7_X7R_100V        C_1206_3216_DensityHigh                             13.6504    40.6999  180.0000  bottom
C76       10n_X7R_100V        C_0402_1005_DensityHigh                             28.6079    34.3099    0.0000  bottom
C77       4u7_X7R_100V        C_1206_3216_DensityHigh                             13.6504    42.6999  180.0000  bottom
C78       4u7_X7R_100V        C_1206_3216_DensityHigh                             13.6504    44.6999  180.0000  bottom
C79       4u7_X7R_100V        C_1206_3216_DensityHigh                             60.3004    44.7499  180.0000  bottom
C80       4u7_X7R_100V        C_1206_3216_DensityHigh                             64.3004    42.7499    0.0000  bottom
C81       4u7_X7R_100V        C_1206_3216_DensityHigh                             64.3004    40.7499    0.0000  bottom
C82       4u7_X7R_100V        C_1206_3216_DensityHigh                             60.3004    42.7499  180.0000  bottom
C83       22u_X7R_10V         C_0805_2012_DensityHighest                          15.9754    31.2249  180.0000  bottom
C84       4u7_X7R_16V         C_0603_1608_DensityHigh                             28.3004    32.6999   90.0000  bottom
C85       4u7_X7R_100V        C_1206_3216_DensityHigh                             60.3004    40.7499  180.0000  bottom
C87       4u7_X7R_100V        C_1206_3216_DensityHigh                             29.0000    56.9000    0.0000  bottom
C102      100n_X7R_50V        C_0402_1005_DensityHigh                             21.5704    13.7699   90.0000  bottom
C104      100n_X7R_50V        C_0402_1005_DensityHigh                             30.6004    36.1999   90.0000  bottom
C105      100n_X7R_50V        C_0402_1005_DensityHigh                             54.1534    28.9549  150.0000  bottom
C106      10u_X7R_25V         C_0805_2012_DensityHighest                          56.3234    28.2499  -30.0000  bottom
C107      100n_X7R_50V        C_0402_1005_DensityHigh                             18.2254    24.3749  -45.0000  bottom
C110      4u7_X7R_16V         C_0603_1608_DensityHigh                             31.7504    14.6499   90.0000  bottom
C111      100n_X7R_50V        C_0402_1005_DensityHigh                             32.8504    14.3499   90.0000  bottom
C125      100n_X7R_50V        C_0402_1005_DensityHigh                             38.1404     8.6099  -90.0000  bottom
D1        SMBJ51CD-M3/H       DIOM4336X24N                                        15.9000    59.5000    0.0000  bottom
D2        SMBJ51CD-M3/H       DIOM4336X24N                                        54.1000    59.5000  180.0000  bottom
D14       BAT41KFILM          D_SOD-523                                           25.0404    14.1174  -90.0000  bottom
D15       BAT41KFILM          D_SOD-523                                           23.5704    14.1199  -90.0000  bottom
FB4       1k_@_100MHz         R_0805_2012_DensityHigh                             11.5004    32.9999   90.0000  bottom
FM2       Fiducial            Fiducial_1mm_Mask2mm                                13.5004    21.9999  180.0000  bottom
FM4       Fiducial            Fiducial_1mm_Mask2mm                                56.5004    21.9999  180.0000  bottom
